Title,Location,Description,Slug,Company,DateScraped
Hiring Senior Full Stack Developer Java React Spring Poland Remote Polish Speaker,"Województwo małopolskie, Poland","Keywords

                        Java (Programming Language)
                    Agile Methodology
                    Test Automation
                    Unit Testing
                    Cloud Computing
                    Software Quality
                    Spring Framework
                    Polish
                    Self-Organization
                    ReactJS
                    Travel Industry
                                                
        Description

        
        Role : Senior Full Stack Developer ( Java+ React+ Spring)
Location: Krakow Poland
Type: Contract 
Rate :  PLN Per day Max

I have limited Access to my freelancer map please share your CV to 

•	Fullstack in Java, Spring, React/ Framework, CI&CD, testing tools / frameworks, experience with Cloud Technologies – GCP, Agile development, Good self-organization skills and initiative, Travel industry knowledge as the advantage. 
•	Accountable to build high quality working software
•	Collaboratively codes, tests and builds software according to requirements and acceptance criteria 
•	Performs meaningful unit testing 
•	Accountable to maintain code quality
•	Provides input to the story prioritization 
•	Supports Technical Product Manager in preparation of requirements for each release 
•	Attends scrum ceremonies",hiring-senior-full-stack-developer-java-react-spring-poland-remote-polish-speaker,,2025-04-10T07:49:16.949Z
Lead Senior Java Fullstack Developer,"Województwo małopolskie, Poland","Keywords

                        Java (Programming Language)
                    Innovation
                    Agile Methodology
                    Test Automation
                    Unit Testing
                    Business Requirements
                    Unix
                    Technical Analysis
                    Cloud Computing
                    Software Quality
                    Continuous Integration
                    Debugging
                    Linux
                    Java Platform Enterprise Edition (J2EE)
                    Spring Framework
                    JSON
                    Polish
                    Simple Object Access Protocol (SOAP)
                    Technical Documentation
                    Web Services
                    Extensible Markup Language (XML)
                    Self-Organization
                    Testing
                    ReactJS
                    AngularJS
                    Travel Industry
                    Restful Api
                                                
        Description

        
        Must be fluent Polish Speaker

Immediate joiners or max 1-2 week notice candidates

•	Lead Software Engineer | 10-15 + years Full stack in Java, Spring, React/Angular Framework, CI&CD, testing tools / frameworks, experience with Cloud Technologies – GCP, Agile development, Good self-organization skills and initiative, Travel industry knowledge as the advantage. 
•	Accountable to build high quality working software
•	Collaboratively codes, tests and builds software according to requirements and acceptance criteria 
•	Performs meaningful unit testing 
•	Supports Technical Product Manager in preparation of requirements for each release
•	Accountable to maintain code quality
•	Provides input to the story prioritization 
•	Supports Technical Product Manager in preparation of requirements for each release 
•	Attends scrum ceremonies
•	Updates status in Rally on a daily basis
•	Continuously works with teams to improve technical practices 
•	Attends release planning meeting and technical review as needed 
•	Provides implementation coverage 
•	• Provides on-call coverage, following implementation, including warranty support
•	Takes part in the sizing process 
•	Designing, Coding, debugging and testing 
•	Troubleshooting issues in test and production environments 
•	Cooperating with other development teams to deliver new capabilities 
•	Innovating to improve application stability and performance 
•	Learning business requirements and translating them into implementation details 
•	Assist in development of software technical documentation
•	Expertise in: Enterprise Java, Web services (XML, JSON, SOAP, REST) or as stated in Program tech stack requirements 
•	Expertise in development and CI tools 
•	Solid Unix/Linux knowledge or as stated in Program tech stack requirements",lead-senior-java-fullstack-developer,Infoplus,2025-04-10T07:49:17.283Z
Senior Full Stack Developer 2851652,"Województwo małopolskie, Poland","Keywords

                        Innovation
                    Java (Programming Language)
                    Agile Methodology
                    Test Automation
                    Unit Testing
                    Business Requirements
                    Unix
                    Technical Analysis
                    Cloud Computing
                    Software Quality
                    Continuous Integration
                    Debugging
                    Linux
                    Java Platform Enterprise Edition (J2EE)
                    Spring Framework
                    JSON
                    Simple Object Access Protocol (SOAP)
                    Technical Documentation
                    Web Services
                    Extensible Markup Language (XML)
                    Self-Organization
                    Testing
                    ReactJS
                    AngularJS
                    Travel Industry
                    Restful Api
                                                
        Description

        
        Must be fluent Polish Speaker (only Any EU/Polish citizen or Ukrainian Citizens)

 Only Immediate joiners or max 1-2 week notice 

Fullstack in Java, Spring, React/Angular Framework, CI&CD, testing tools / frameworks, experience with Cloud Technologies – GCP, Agile development, Good self-organization skills and initiative, Travel industry knowledge as the advantage. 
Accountable to build high quality working software
Collaboratively codes, tests and builds software according to requirements and acceptance criteria 
Performs meaningful unit testing 
Accountable to maintain code quality
Provides input to the story prioritization 
Supports Technical Product Manager in preparation of requirements for each release 
Attends scrum ceremonies
Updates status in Rally on a daily basis
Continuously works with teams to improve technical practices 
Attends release planning meeting and technical review as needed 
Provides implementation coverage 
Provides on-call coverage, following implementation, including warranty support
Takes part in the sizing process 
Designing, Coding, debugging and testing 
Troubleshooting issues in test and production environments 
Cooperating with other development teams to deliver new capabilities 
Innovating to improve application stability and performance 
Learning business requirements and translating them into implementation details 
Assist in development of software technical documentation

Expertise in: Enterprise Java, Web services (XML, JSON, SOAP, REST) or as stated in Program tech stack requirements 
Expertise in development and CI tools 
Solid Unix/Linux knowledge or as stated in Program tech stack requirements",senior-full-stack-developer-2851652,Infoplus Technologies,2025-04-10T07:49:17.622Z
Hiring Lead Full Stack Developer Krakow Poland Remote,"Województwo małopolskie, Poland","Keywords

                        Innovation
                    Java (Programming Language)
                    Agile Methodology
                    Test Automation
                    Unit Testing
                    Business Requirements
                    Unix
                    Technical Analysis
                    Cloud Computing
                    Software Quality
                    Continuous Integration
                    Debugging
                    Linux
                    Java Platform Enterprise Edition (J2EE)
                    Spring Framework
                    JSON
                    Polish
                    Simple Object Access Protocol (SOAP)
                    Technical Documentation
                    Web Services
                    Extensible Markup Language (XML)
                    Self-Organization
                    Testing
                    ReactJS
                    AngularJS
                    Travel Industry
                    Restful Api
                                                
        Description

        
        Role : Lead Full Stack Developer
Location: Krakow Poland 
Type: Contract 
Rate :  PLN Per day Max
Must be fluent Polish Speaker (only Any EU/Polish citizen or Ukrainian Citizens)

 Immediate joiners or max 1-2 week notice.
I have limited Access to my freelancer map please share your CV to 

•	Lead Software Engineer | 10-15 + years Fullstack in Java, Spring, React/Angular Framework, CI&CD, testing tools / frameworks, experience with Cloud Technologies – GCP, Agile development, Good self-organization skills and initiative, Travel industry knowledge as the advantage. 
•	Accountable to build high quality working software
•	Collaboratively codes, tests and builds software according to requirements and acceptance criteria 
•	Performs meaningful unit testing 
•	Supports Technical Product Manager in preparation of requirements for each release
•	Accountable to maintain code quality
•	Provides input to the story prioritization 
•	Supports Technical Product Manager in preparation of requirements for each release 
•	Attends scrum ceremonies
•	Updates status in Rally on a daily basis
•	Continuously works with teams to improve technical practices 
•	Attends release planning meeting and technical review as needed 
•	Provides implementation coverage 
•	• Provides on-call coverage, following implementation, including warranty support
•	Takes part in the sizing process 
•	Designing, Coding, debugging and testing 
•	Troubleshooting issues in test and production environments 
•	Cooperating with other development teams to deliver new capabilities 
•	Innovating to improve application stability and performance 
•	Learning business requirements and translating them into implementation details 
•	Assist in development of software technical documentation
•	Expertise in: Enterprise Java, Web services (XML, JSON, SOAP, REST) or as stated in Program tech stack requirements 
•	Expertise in development and CI tools 
•	Solid Unix/Linux knowledge or as stated in Program tech stack requirements",hiring-lead-full-stack-developer-krakow-poland-remote,infoplus,2025-04-10T07:49:17.946Z
Looking For Full Stack Developers 2830114,"Paris, France","Keywords

                        French
                    Full Stack Development
                                                
        Description

        
        We're seeking full-stack developers in multiple technologies currently residing in France or authorised to work in France/EU for our French/EU clients. The project involves a hybrid work model (1-2 days onsite + 2-3 days teleworking). We have on-site Project coordinators based in France/EU to manage clients.

Key Requirements:
- Full-stack development skills
- Currently residing in France
- Ability to work in a hybrid model

Please apply with your details (CV) followed by the interview with the clients.",looking-for-full-stack-developers-2830114,Kennedia IT solutions,2025-04-10T07:49:19.337Z
Mern Stack Developer With Typescript Und Graphql Experience 6 Months,"New York, USA","Keywords

                        Mern
                    Graphql
                    Application Programming Interfaces (APIs)
                    Continuous Integration
                    MongoDB
                    Node.Js
                    TypeScript
                    ReactJS
                    Region Management
                    React Redux
                    Restful Api
                    JavaScript (Programming Language)
                    Amazon Web Services
                    Next.js
                    WebSocket
                    Firebase
                    Git
                    Full Stack Development
                    NestJS
                    Software Version Control
                    Docker
                                                
        Description

        
        Project Goal:
Development of a full-stack application using the MERN (MongoDB, Express, React, Node.js) technology stack.

Main Tasks:
• Full-stack development using MongoDB, Express, React, and Node.js
• Implementation of state management solutions (Redux/Zustand/Context API)
• Development of RESTful APIs and GraphQL integrations
• Writing and maintaining clean, scalable code
• Participation in CI/CD pipeline processes

Requirements:
• 5+ years of experience with MERN stack development
• Strong proficiency in JavaScript and TypeScript
• Experience with state management tools (Redux/Zustand/Context API)
• Proven expertise in RESTful APIs and GraphQL
• Git version control system knowledge
• CI/CD pipeline experience
• B2+ English proficiency

Preferred Skills:
• Next.js or NestJS experience
• Docker, AWS, or Firebase knowledge
• Experience with WebSockets and real-time applications

Project Duration: 6 months
Start Date: Immediate
Work Model: Remote
Engagement: Full-time or Part-time (flexible based on availability)",mern-stack-developer-with-typescript-und-graphql-experience-6-months,,2025-04-10T07:49:19.680Z
Senior Developer Corporate Life,"Brussels, Belgium","Keywords

                        Software Engineering
                    Agile Methodology
                    Innovation
                    .NET Framework
                    Algorithms
                    Application Integration Architecture
                    Architecture
                    Test Automation
                    Unit Testing
                    Delphi (Programming Language)
                    COBOL (Programming Language)
                    Code Review
                    Continuous Integration
                    Data Structures
                    Software Design Patterns
                    Feasibility Studies
                    French
                    Infrastructure Management
                    Object-Oriented Software Development
                    Systems Development Life Cycle
                    Writing Documentation
                    Software Systems
                    Technical Documentation
                    Functional Analysis
                    Full Stack Development
                    Api Design
                    Safety Principles
                    Legacy Systems
                                                
        Description

        
        Dear Consultant,

We are seeking a Senior Developer - Corporate Life to join ourmultinational clients  team. This role is integral in driving innovation and developing high-quality software solutions for the life insurance sector. You will be working in a dynamic environment, bridging modern application development with legacy systems while maintaining high standards of performance and security. Send Cv to () if you are interested. 

Location: Brussels, Belgium
Job Type: 6-Month Contract
Work Mode: Hybrid
Industry: Insurance

Key Responsibilities:
Participate in technical feasibility studies and contribute to the reflection on functional analysis.
Design and document solutions comprehensively to guide development efforts effectively.
Assist in workload planning by breaking down development tasks into manageable stories.
Establish, maintain, and improve development standards within the team.
Develop, implement, and enhance applications as per specifications.
Work collaboratively with Architects, Infrastructure, and Operations teams to optimize solutions while ensuring security and efficiency.
Create technical documentation to support IT colleagues in program utilization.

Required Profile:
Bachelor's degree in Computer Science or a related field.
5 to 10 years of hands-on software development experience in an object-oriented environment, including API development and legacy Cobol application integration.
Strong expertise in software development processes (SDLC), methodologies, and technology trends.
Proficiency in OO principles, data structures, algorithms, and applying design patterns in architecture.
Full-stack development experience with a background in Agile software development (Delphi, .Net, etc.).
Experience working with Microsoft Power Platform.
Fluent in French and proficient in English (both spoken and written).
Ability to work both independently and as part of a collaborative team.
Previous experience in the insurance industry, particularly in life insurance.
Strong commitment to high coding standards, including documentation, unit testing, code reviews, test automation, CI/CD, and agile methodologies.",senior-developer-corporate-life,DCV Technologies,2025-04-10T07:49:20.018Z
Full Stack Developer 2838358,"Paris, France","Keywords

                        Finance
                    Java (Programming Language)
                    Unit Testing
                    Code Review
                    Maintenance
                    Restful Api
                    Microservices
                    Innovation
                    Agile Methodology
                    Financial Institution
                    Cloud Computing
                    Databases
                    Cryptography
                    Multi-Factor Authentication
                    MongoDB
                    Open Web Application Security
                    Web Application Security
                    TypeScript
                    Backend
                    Event Driven Architecture
                    Containerization
                    AngularJS
                    Material UI
                    Kubernetes
                    Apache Kafka
                    Front End Software Development
                    Safety Principles
                    Docker
                                                
        Description

        
        Job Description: Full Stack Java Developer
Location: Nanterre, France
Duration: 12-month contract
Remote policy: 2-3 days onsite per week
Start Date: ASAP

About the Company: 
A leading global financial institution specialising in innovation, compliance, and the management of financial flows. With a 
robust focus on combating terrorism financing and ensuring adherence to financial embargo regulations, this organisation
emphasises cutting-edge technology and dynamic, cross-functional collaboration.

The company's agile environment supports a mix of French and international teams, fostering a collaborative atmosphere with commitment to delivering best-in-class solutions.

Role overview:

This project involves the development and maintenance of a financial flow screening application aimed at ensuring compliance with regulations against terrorism financing and financial embargoes.

We are seeking a full-stack Java developer to contribute to the application's enhancement and support. You will collaborate with a cross-cultural team, including members in India, and participate in development, code reviews, unit testing, and agile ceremonies. Reporting on progress and challenges will also be required.

This role focuses on improving financial screening systems while adhering to evolving security and regulatory standards.

Responsibilities:Development & Maintenance: Enhance and maintain the existing Shine application.Code Reviews: Review and ensure the quality of code written by team members.Unit Testing: Design, implement, and execute robust unit tests.Agile Meetings: Actively participate in refinement, daily stand-ups, retrospectives, and other project meetings.Reporting: Provide regular updates on progress, challenges, and deliverables.

Desired Skills and Experience:Java & Spring Expertise: Advanced skills in Java and Spring frameworks.Rest API Development: Proven experience in building backend Rest APIs in Java.Frontend Development: Proficiency with Angular and TypeScript. Experience with PrimeNG and/or Material UI ishighly desirable.Database Knowledge: Strong understanding of MongoDB (expertise is a plus).Event-Driven Architecture: Familiarity with Kafka.Security Principles: Knowledge of web security concepts, including OWASP standards, two-factor authentication, and encryption.Micro-services Architecture: Solid understanding of micro services.Cloud Platforms: Experience with cloud technologies is an added advantage.Containerisation: Familiarity with Docker and Kubernetes is a bonus.

Soft Skills:English Fluency: Comfortable interacting with international team members and conducting meetings/documentation in English.Team Collaboration: Strong interpersonal skills to thrive in dynamic and close-knit teams",full-stack-developer-2838358,gloccomslondon,2025-04-10T07:49:20.342Z
Senior Developer 2856487,"Brussels, Belgium","Keywords

                        Agile Methodology
                    Infrastructure Management
                    Software Engineering
                    Administrative Operations
                    .NET Framework
                    Algorithms
                    Test Automation
                    Unit Testing
                    Code Review
                    Databases
                    Continuous Integration
                    Data Structures
                    Software Design Patterns
                    Programming Tools
                    Dutch
                    Feasibility Studies
                    French
                    Python (Programming Language)
                    Object-Oriented Software Development
                    Systems Development Life Cycle
                    Writing Documentation
                    Software Systems
                    Stakeholder Management
                    Standards-Compliant
                    Systems Architecture
                    Technical Writings
                    Technical Documentation
                    Extensible Markup Language (XML)
                    Functional Analysis
                    Full Stack Development
                    Reporting Tools
                    Api Design
                    Safety Principles
                                                
        Description

        
        DearConsultant, 

We are seeking an experienced Senior Developer - to join our multinational clients  team. In this role, you will play a crucial part in designing, developing, and maintaining applications for life insurance policy administration. You will work closely with business stakeholders, architects, and infrastructure teams to ensure robust, scalable, and high-quality software solutions. send CV to () if you are interested. 

This is an exciting opportunity to work in a dynamic and collaborative environment, leveraging cutting-edge technologies to enhance insurance systems. 

Required Profile:

Bachelor's degree in Computer Science or a related field.
Minimum 5 years of hands-on software development experience in an object-oriented (OO) environment with exposure to API development.
Strong understanding of software development processes (SDLC), methods, and industry trends.
Excellent knowledge of data structures, algorithms, problem-solving, and the ability to apply design patterns in system architecture.
Full-stack development experience with proficiency in Python, .NET, and Agile methodologies.
Experience working with Microsoft Power solutions.
Fluency in French or Dutch, with strong English communication skills (written and oral).
Familiarity with UL3 platform from Vereycken & Vereycken is a plus.
Ability to work both independently and collaboratively within a team.
Prior experience in the Insurance industry (Life Insurance) is highly desirable.
Commitment to high coding standards, including documentation, unit testing, code reviews, test automation, CI/CD, and Agile best practices.

Key Responsibilities:
Conduct technical feasibility studies and contribute to functional analysis discussions.
Design and document solutions comprehensively to align with development requirements.
Support workload planning by breaking down tasks into manageable stories.
Define, maintain, and improve development standards for the team.
Implement and enhance applications according to technical specifications.
Collaborate with architects, infrastructure, and operations teams to optimize solutions while ensuring high security and compliance standards.
Prepare technical documentation for newly developed programs.
Develop and maintain reporting tools from UL3 and other applications, ensuring seamless integration with internal and external databases, XML, CSV, etc.
Create ad hoc development tools to support policy administration and other key business functions.
Coordinate development efforts with Group IT colleagues for streamlined collaboration.",senior-developer-2856487,DCV Technologies,2025-04-10T07:49:20.663Z
Lead Full Stack Developer Krakow Poland Fully Remote B2b Contract,"Województwo małopolskie, Poland","Keywords

                        Innovation
                    Java (Programming Language)
                    Agile Methodology
                    Test Automation
                    Unit Testing
                    Business Requirements
                    Unix
                    Technical Analysis
                    Cloud Computing
                    Software Quality
                    Continuous Integration
                    Debugging
                    Linux
                    Java Platform Enterprise Edition (J2EE)
                    Spring Framework
                    JSON
                    Polish
                    Simple Object Access Protocol (SOAP)
                    Technical Documentation
                    Web Services
                    Extensible Markup Language (XML)
                    Self-Organization
                    Testing
                    ReactJS
                    AngularJS
                    Travel Industry
                    Restful Api
                                                
        Description

        
        Must be a fluent Polish Speaker

Immediate joiners or max 1-2 week notice candidates

•	Lead Software Engineer | 10-15 + years Full stack in Java, Spring, React/Angular Framework, CI&CD, testing tools / frameworks, experience with Cloud Technologies – GCP, Agile development, Good self-organization skills and initiative, Travel industry knowledge as the advantage. 
•	Accountable to build high quality working software
•	Collaboratively codes, tests and builds software according to requirements and acceptance criteria 
•	Performs meaningful unit testing 
•	Supports Technical Product Manager in preparation of requirements for each release
•	Accountable to maintain code quality
•	Provides input to the story prioritization 
•	Supports Technical Product Manager in preparation of requirements for each release 
•	Attends scrum ceremonies
•	Updates status in Rally on a daily basis
•	Continuously works with teams to improve technical practices 
•	Attends release planning meeting and technical review as needed 
•	Provides implementation coverage 
•	• Provides on-call coverage, following implementation, including warranty support
•	Takes part in the sizing process 
•	Designing, Coding, debugging and testing 
•	Troubleshooting issues in test and production environments 
•	Cooperating with other development teams to deliver new capabilities 
•	Innovating to improve application stability and performance 
•	Learning business requirements and translating them into implementation details 
•	Assist in development of software technical documentation
•	Expertise in: Enterprise Java, Web services (XML, JSON, SOAP, REST) or as stated in Program tech stack requirements 
•	Expertise in development and CI tools 
•	Solid Unix/Linux knowledge or as stated in Program tech stack requirements",lead-full-stack-developer-krakow-poland-fully-remote-b2b-contract,Infoplus Technologies,2025-04-10T07:49:21.029Z
Java Full Stack Developer Python,"Warszawa, Poland",,java-full-stack-developer-python,,2025-04-10T07:49:21.177Z
Senior Python Developer 2863395,"Lisboa, Portugal","Keywords

                        Python (Programming Language)
                    PostgreSQL
                    Kubernetes
                    Artificial Intelligence
                    Databases
                    Infrastructure Management
                    Machine Learning
                                                
        Description

        
        Freelance Opportunity for a highly experienced Python Developer.
3 Months with option to extend 
Remote from anywhere, but need to work CET hours
Rate - €35-40 per hour, depending on experience

Our client is an AI tech start-up. They are looking for senior Python Developers to join them on a 3-month contract and help them tackle a backlog project and build new features. If you’re passionate about building clean, scalable code and enjoy working with modern infrastructure, we’d love to hear from you!

What You’ll Be Doing:
Building and optimising scalable, production-grade Python applications.
Working with PostgreSQL to manage data efficiently.
Using Kubernetes for container orchestration and deployment
Collaborating with a senior-level, remote team to deliver high-impact solutions.

What We’re Looking For:
Senior-level experience with Python – you write clean, efficient, and maintainable code.
Strong expertise with PostgreSQL and database optimisation.
Hands-on experience with Kubernetes for deployment and scaling.
Ability to work independently and collaboratively in a remote setting.
Knowledge of Machine Learning would be highly advantageous

If this role is suitable for you, please send in your profile ASAP.",senior-python-developer-2863395,Amass Technology,2025-04-10T07:49:24.186Z
Python Developer 2830882,"Noord-Holland, Netherlands","Keywords

                        Python (Programming Language)
                    Databases
                    Innovation
                    HTML
                    JavaScript (Programming Language)
                    Agile Methodology
                    Amazon Web Services
                    Test Automation
                    Microsoft Azure
                    Business Processes
                    Cascading Style Sheets (CSS)
                    Cloud Computing
                    Software Quality
                    Code Review
                    Continuous Integration
                    Debugging
                    DevOps
                    Django Web Framework
                    PostgreSQL
                    MongoDB
                    MySQL
                    Cloud Services
                    Software Engineering
                    Web Services
                    Testing
                    Data Storage Technologies
                    Flask (Web Framework)
                    Git
                    Fastapi
                    Pytest
                    Containerization
                    Kubernetes
                    Front End Software Development
                    Restful Api
                    Software Version Control
                    Docker
                                                
        Description

        
        ROLE OVERVIEW
We are looking for a talented Python Developer to join our dynamic team. In this role, you will design, develop, and maintain high-quality Python applications that drive innovation and support business operations. You will collaborate closely with cross-functional teams, leveraging Python’s power and flexibility to create scalable, efficient, and reliable solutions.

KEY RESPONSIBILITIES
Write clean, efficient, and maintainable Python code.
Develop and deploy Python-based applications and services.
Collaborate with teams to define, design, and ship new features.
Integrate data storage solutions such as databases and cloud services.
Troubleshoot and debug applications to ensure optimal performance.
Write automated tests to ensure the quality and reliability of code.
Stay up-to-date with Python trends and best practices.
Participate in code reviews to maintain high code quality standards.

WHAT WILL MAKE US HAPPY ?
Proficiency in Python and related frameworks such as Django, Flask, or FastAPI.
Solid experience with databases like MySQL, PostgreSQL, or MongoDB.
Familiarity with web services and RESTful APIs.
Experience with version control tools, particularly Git.
Strong understanding of software engineering principles and problem-solving skills.
Knowledge of cloud platforms (AWS, GCP, or Azure).
Experience with Agile development methodologies.
Excellent communication skills and ability to work collaboratively.


NICE TO HAVE
Experience with front-end technologies (e.g., HTML, CSS, JavaScript).
Familiarity with containerization tools like Docker and Kubernetes.
Experience with testing frameworks like pytest or unittest.
Knowledge of CI/CD pipelines and DevOps practices.",python-developer-2830882,,2025-04-10T07:49:24.530Z
Python Developer 2830899,"Brussels, Belgium","Keywords

                        Python (Programming Language)
                    Databases
                    Innovation
                    HTML
                    JavaScript (Programming Language)
                    Agile Methodology
                    Amazon Web Services
                    Test Automation
                    Microsoft Azure
                    Business Processes
                    Cascading Style Sheets (CSS)
                    Cloud Computing
                    Software Quality
                    Code Review
                    Continuous Integration
                    Debugging
                    DevOps
                    Django Web Framework
                    PostgreSQL
                    MongoDB
                    MySQL
                    Cloud Services
                    Software Engineering
                    Web Services
                    Testing
                    Data Storage Technologies
                    Flask (Web Framework)
                    Git
                    Fastapi
                    Pytest
                    Containerization
                    Kubernetes
                    Front End Software Development
                    Restful Api
                    Software Version Control
                    Docker
                                                
        Description

        
        ROLE OVERVIEW
We are looking for a talented Python Developer to join our dynamic team. In this role, you will design, develop, and maintain high-quality Python applications that drive innovation and support business operations. You will collaborate closely with cross-functional teams, leveraging Python’s power and flexibility to create scalable, efficient, and reliable solutions.

KEY RESPONSIBILITIES
Write clean, efficient, and maintainable Python code.
Develop and deploy Python-based applications and services.
Collaborate with teams to define, design, and ship new features.
Integrate data storage solutions such as databases and cloud services.
Troubleshoot and debug applications to ensure optimal performance.
Write automated tests to ensure the quality and reliability of code.
Stay up-to-date with Python trends and best practices.
Participate in code reviews to maintain high code quality standards.

WHAT WILL MAKE US HAPPY ?
Proficiency in Python and related frameworks such as Django, Flask, or FastAPI.
Solid experience with databases like MySQL, PostgreSQL, or MongoDB.
Familiarity with web services and RESTful APIs.
Experience with version control tools, particularly Git.
Strong understanding of software engineering principles and problem-solving skills.
Knowledge of cloud platforms (AWS, GCP, or Azure).
Experience with Agile development methodologies.
Excellent communication skills and ability to work collaboratively.


NICE TO HAVE
Experience with front-end technologies (e.g., HTML, CSS, JavaScript).
Familiarity with containerization tools like Docker and Kubernetes.
Experience with testing frameworks like pytest or unittest.
Knowledge of CI/CD pipelines and DevOps practices.",python-developer-2830899,,2025-04-10T07:49:24.865Z
Python Developer Freelance 100 Prozent Remote 2853364,"Brussels, Belgium","Keywords

                        Python (Programming Language)
                    Amazon Web Services
                    DevOps
                    Fastapi
                    Application Programming Interfaces (APIs)
                    Amazon S3
                    Financial Data Analysis
                    Continuous Integration
                    Amazon DynamoDB
                    Backend
                    Fintech
                    Cloud Computing
                    Databases
                    Finance
                    Financial Systems
                    Fraud Prevention and Detection
                    PostgreSQL
                    Machine Learning
                    Scrum Methodology
                    Redis
                    Security Managing
                    Transaction Processing (Computing)
                    Kubernetes
                    Restful Api
                    Terraform
                    Microservices
                                                
        Description

        
        12 Month Contract, Fully Remote, Well Known FinTech Client, ASAP Start
Join our client’s FinTech development team as a Python Developer, where you will focus on building high-performance, scalable backend systems using FastAPI and AWS.
In this role, you will develop APIs, integrate cloud-based services, and collaborate with data engineers and DevOps specialists to deploy solutions that power modern financial services, from fraud detection to real-time transactions.

KEY RESPONSIBILITIES
Develop, test, and maintain backend Python applications using FastAPI.
Design and implement RESTful APIs for financial data processing.
Deploy and manage solutions on AWS using Lambda, S3, DynamoDB, and ECS.
Collaborate with DevOps engineers to optimize CI/CD pipelines.
Implement security best practices for handling sensitive financial data.
Work in an Agile team environment with sprint planning and daily standups

WHAT WILL MAKE US HAPPY ?
Strong proficiency in Python with FastAPI experience.
Hands-on experience with AWS (Lambda, S3, ECS, DynamoDB).
Understanding of microservices architecture and API security.
Experience with PostgreSQL, Redis, or similar databases.
Knowledge of CI/CD pipelines and DevOps practices.

NICE TO HAVE
Exposure to machine learning models in financial applications.
Familiarity with Kubernetes and Terraform.
Experience in high-frequency or real-time transaction processing.",python-developer-freelance-100-prozent-remote-2853364,,2025-04-10T07:49:25.197Z
Python Developer Freelance 100 Prozent Remote,"Noord-Holland, Netherlands","Keywords

                        Python (Programming Language)
                    Amazon Web Services
                    DevOps
                    Fastapi
                    Application Programming Interfaces (APIs)
                    Amazon S3
                    Financial Data Analysis
                    Continuous Integration
                    Amazon DynamoDB
                    Backend
                    Fintech
                    Cloud Computing
                    Databases
                    Finance
                    Financial Systems
                    Fraud Prevention and Detection
                    PostgreSQL
                    Machine Learning
                    Scrum Methodology
                    Redis
                    Security Managing
                    Transaction Processing (Computing)
                    Kubernetes
                    Restful Api
                    Terraform
                    Microservices
                                                
        Description

        
        12 Month Contract, Fully Remote, Well Known FinTech Client, ASAP Start
Join our client’s FinTech development team as a Python Developer, where you will focus on building high-performance, scalable backend systems using FastAPI and AWS. 
In this role, you will develop APIs, integrate cloud-based services, and collaborate with data engineers and DevOps specialists to deploy solutions that power modern financial services, from fraud detection to real-time transactions.

KEY RESPONSIBILITIES
Develop, test, and maintain backend Python applications using FastAPI.
Design and implement RESTful APIs for financial data processing.
Deploy and manage solutions on AWS using Lambda, S3, DynamoDB, and ECS.
Collaborate with DevOps engineers to optimize CI/CD pipelines.
Implement security best practices for handling sensitive financial data.
Work in an Agile team environment with sprint planning and daily standups

WHAT WILL MAKE US HAPPY ?
Strong proficiency in Python with FastAPI experience.
Hands-on experience with AWS (Lambda, S3, ECS, DynamoDB).
Understanding of microservices architecture and API security.
Experience with PostgreSQL, Redis, or similar databases.
Knowledge of CI/CD pipelines and DevOps practices.

NICE TO HAVE
Exposure to machine learning models in financial applications.
Familiarity with Kubernetes and Terraform.
Experience in high-frequency or real-time transaction processing.",python-developer-freelance-100-prozent-remote,,2025-04-10T07:49:25.517Z
Net Developer 2841232,"Utrecht, Netherlands","Keywords

                        .NET Framework
                    Amazon Web Services
                    Databases
                    Continuous Integration
                    Web Applications
                    Cloudformation
                    Apache Kafka
                    Docker
                    Tender Management
                    Automation
                    Test Automation
                    Bidding
                    Cloud Computing
                    Recruitment
                    Internet Information Services (IIS)
                    Infrastructure Management
                    Microsoft SQL Servers
                    .NET Core
                    Front End Software Development
                                                
        Description

        
        For one of my clients, a big tendering and bidding platform, I am looking for an experienced .NET Developer, who has experience with .NET Core, AWS, Docker, and preferably Kafka and Cloudformation (no knock-out).

Responsibilities include writing clean, scalable code, collaborating with cross-functional teams to define project requirements, and troubleshooting issues.
 .NET Framework Expertise: Proficient in .NET (4.7 and newer).Cloud and Infrastructure: Skilled in AWS, Docker, and IaC (preferably CloudFormation).Event-Driven Technologies: Experience with Kafka and event-driven architectures.CI/CD and Automation: Strong understanding of CI/CD pipelines, SDL processes, and test automation.Web Applications and Databases: Expertise in IIS, frontend web applications, and databases (SQLServer).

Darwin Recruitment is acting as an Employment Business in relation to this vacancy.",net-developer-2841232,Darwin Recruitment,2025-04-10T07:49:27.793Z
